,User,ID,DateTime,Device,Retweets,Likes,Text,Is_retweet
78,realDonaldTrump,1335268230206722048,2020-12-05 17:02:08,Twitter for iPhone,54134,250753,"I will easily &amp; quickly win Georgia if Governor @BrianKempGA or the Secretary of State permit a simple signature verification. Has not been done and will show large scale discrepancies. Why are these two “Republicans” saying no? If we win Georgia, everything else falls in place!",False
79,realDonaldTrump,1335260785510146048,2020-12-05 16:32:33,Twitter for iPhone,31544,173128,"See you tonight at 7PM, Georgia! https://t.co/gMYtLGGqzI",False
80,realDonaldTrump,1335087268516794368,2020-12-05 05:03:04,Twitter for iPhone,40507,0,RT @realDonaldTrump: https://t.co/AMIT0WetT1,True
81,realDonaldTrump,1335087245037015040,2020-12-05 05:02:58,Twitter for iPhone,35010,0,RT @realDonaldTrump: https://t.co/vdaaFDn2Xi,True
82,realDonaldTrump,1335059858178125825,2020-12-05 03:14:09,Twitter for iPhone,10324,0,RT @RobertCahaly: Our @trafalgar_group #GASen #Runoff #Polls also shed some light on Georgia voters opinions of whether the #Presidential e…,True
83,realDonaldTrump,1335057724485275656,2020-12-05 03:05:40,Twitter for iPhone,20140,84230,https://t.co/ouGhtnhwGG,False
84,realDonaldTrump,1335057703568355330,2020-12-05 03:05:35,Twitter for iPhone,24273,94941,https://t.co/cYj73a5fiR,False
85,realDonaldTrump,1335052324780339200,2020-12-05 02:44:12,Twitter for iPhone,23103,89424,https://t.co/yV62397bgs,False
86,realDonaldTrump,1335052022530379776,2020-12-05 02:43:00,Twitter for iPhone,40507,151517,https://t.co/AMIT0WetT1,False
87,realDonaldTrump,1335042139479298050,2020-12-05 02:03:44,Twitter for iPhone,21138,0,RT @realDonaldTrump: Watch @SeanHannity tonight at 9:00 P.M. Eastern — story on Voter Fraud!,True
88,realDonaldTrump,1335032599283109890,2020-12-05 01:25:50,Twitter for iPhone,23713,88328,https://t.co/VTNYa5vaG7,False
89,realDonaldTrump,1335001911460843521,2020-12-04 23:23:53,Twitter for iPhone,25699,126581,"See you tomorrow night at 7PM, Valdosta, Georgia! https://t.co/Or9WioLiVk",False
90,realDonaldTrump,1334994862299602947,2020-12-04 22:55:52,Twitter for iPhone,35010,117230,https://t.co/vdaaFDn2Xi,False
91,realDonaldTrump,1334993249082236931,2020-12-04 22:49:28,Twitter for iPhone,23865,89082,"Thank you to Senate President Karen Fann and House Speaker Russell Bowers – and all, for what you are doing in Arizona. A fast check of signatures will easily give us the state. Votes against have been reduced to a very small number! https://t.co/NIGpkJHyoY https://t.co/gJIozjtyES",False
92,realDonaldTrump,1334991611403640838,2020-12-04 22:42:57,Twitter for iPhone,21138,127263,Watch @SeanHannity tonight at 9:00 P.M. Eastern — story on Voter Fraud!,False
93,realDonaldTrump,1334991357144944643,2020-12-04 22:41:57,Twitter for iPhone,35761,283915,STOCK MARKET REACHES NEW ALL-TIME HIGH!,False
94,realDonaldTrump,1334952378412523525,2020-12-04 20:07:03,Twitter for iPhone,18905,0,RT @HawleyMO: This case raises major questions about the legality of Pennsylvania’s mail-in balloting changes. The Supreme Court should hea…,True
95,realDonaldTrump,1334952236137459713,2020-12-04 20:06:29,Twitter for iPhone,13084,0,RT @HawleyMO: The President is right,True
96,realDonaldTrump,1334952034559258628,2020-12-04 20:05:41,Twitter for iPhone,12210,0,RT @HawleyMO: The NDAA does NOT contain any reform to Section 230 but DOES contain Elizabeth Warren’s social engineering amendment to unila…,True
97,realDonaldTrump,1334952015861063685,2020-12-04 20:05:37,Twitter for iPhone,7367,0,RT @HawleyMO: The NDAA should not be hijacked for the Democrats’ woke leftist agenda,True
98,realDonaldTrump,1334950658504581121,2020-12-04 20:00:13,Twitter for iPhone,14478,0,RT @LindseyGrahamSC: I support President @realDonaldTrump's insistence Section 230 repeal be part of the defense authorization bill.     Bi…,True
99,realDonaldTrump,1334950637805707265,2020-12-04 20:00:08,Twitter for iPhone,8202,0,RT @LindseyGrahamSC: @realDonaldTrump It is our best chance to change course while we still can.    I take a back seat to no one when it co…,True
100,realDonaldTrump,1334950621288554497,2020-12-04 20:00:04,Twitter for iPhone,8310,0,"RT @LindseyGrahamSC: @realDonaldTrump We have a Defense Department to protect our liberty, but our liberty is at risk if we don’t change Se…",True
101,realDonaldTrump,1336695746029121537,2020-12-09 15:34:35,Twitter for iPhone,19751,88539,#OVERTURN,False
